node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Enterobacter hormaechei_A;Listeria monocytogenes_B	1	0	1	1	1
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Listeria welshimeri	1	0	1	0.0032679738562091504	306
tet(B)	tet_A_B_C_D	tet(B)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes;Salmonella enterica	1	0	1	0.2	5
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes;Salmonella enterica	1	0	1	0.2	5
lnu(G)	lnu_BFG	lnu(G)	LINCOSAMIDE	LINCOSAMIDE	Listeria monocytogenes_B	1	0	1	3.340236488743403e-5	29938
blaACT-15	blaACT	blaACT-15	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei_A;Listeria monocytogenes_B	1	0	1	1	1
blaCARB-2	blaPSE	blaCARB-2	BETA-LACTAM	BETA-LACTAM	Listeria monocytogenes;Salmonella enterica	1	0	1	0.2	5
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Listeria monocytogenes;Salmonella enterica	1	0	1	0.2	5
blaTEM-116	blaTEM	blaTEM-116	BETA-LACTAM	BETA-LACTAM	Listeria monocytogenes_C	1	0	1	0.006024096385542169	166
qnrA1	qnrA	qnrA1	QUINOLONE	QUINOLONE	Listeria monocytogenes_B;Salmonella enterica	1	0	1	0.06666666666666667	15
qnrB19	qnrB	qnrB19	QUINOLONE	QUINOLONE	Listeria monocytogenes_B	1	0	1	3.340236488743403e-5	29938
RND-IM	NA	NA	NA	NA	Enterobacter hormaechei_A;Listeria monocytogenes_B	0	1	1	1	1
RND-OM	NA	NA	NA	NA	Listeria innocua	0	1	1	6.464124111182935e-4	1547
RND-peri	NA	NA	NA	NA	Enterobacter hormaechei_A;Listeria monocytogenes_B	0	1	1	1	1
aac(3)-I	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
ant(4')-I	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
aph(3')-I	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
aph(3')-I	NA	NA	NA	NA	Listeria monocytogenes_B	0	1	1	3.340236488743403e-5	29938
aph(3')-II	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
aph(3')-II	NA	NA	NA	NA	Listeria monocytogenes_B	0	1	1	3.340236488743403e-5	29938
aph(3')-VI	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
bla-A	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
