node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
aac(6')-31	aac(6')-set_A	aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
blaCMY-30	blaCMY	blaCMY-30	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
blaCTX-M-1	blaCTX-M	blaCTX-M-1	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
blaLEN-38	blaLEN	blaLEN-38	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
blaLEN-43	blaLEN	blaLEN-43	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
blaLEN-58	blaLEN	blaLEN-58	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
blaNDM-4	blaNDM	blaNDM-4	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
blaOXA-2	blaOXA-2_fam	blaOXA-2	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
catB6	catB	catB6	PHENICOL	CHLORAMPHENICOL	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
fosA3	fos_A3_A4	fosA3	FOSFOMYCIN	FOSFOMYCIN	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
qnrB10	qnrB	qnrB10	QUINOLONE	QUINOLONE	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
qnrB91	qnrB	qnrB91	QUINOLONE	QUINOLONE	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
