Sample	BioSample	BioProject	MLST2	Amikacin call	Amikacin MIC	Gentamicin call	Gentamicin MIC	Tobramycin call	Tobramycin MIC	Ampicillin call	Ampicillin MIC	Amoxicillin-clavulanate call	Amoxicillin-clavulanate MIC	Piperacillin-tazobactam call	Piperacillin-tazobactam MIC	Cafazolin call	Cafazolin MIC	Cefepime call	Cefepime MIC	Ceftazidime call	Ceftazidime MIC	Ceftriaxone call	Ceftriaxone MIC	Ertapenem call	Ertapenem MIC	Imipenem call	Imipenem MIC	Meropenem call	Meropenem MIC	Aztreonam call	Aztreonam MIC	Ciprofloxacin call	Ciprofloxacin MIC	Levofloxacin call	Levofloxacin MIC	Trimethoprim-sulfamethoxazole call	Trimethoprim-sulfamethoxazole MIC	Tetracycline call	Tetracycline MIC
780399	SAMN26309326	PRJNA809394	23	S	²8	S	²2	S	²2	R	>16	R	>16/8	S	²2/4	R	>16	R	>16	R	>16	S	²1	S	²0.25	S	²0.25	S	²0.25	I	8	S	²0.5	S	²1	R	>2/38	R	>8
698886	SAMN26304586	PRJNA809394	38	S	²8	S	²2	S	²2	R	>16	I	16/8	S	²2/4	R	>16	R	>16	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	S	²0.5/9.5	R	>8
699162	SAMN26304844	PRJNA809394	38	S	²8	R	>8	I	8	R	>16	S	8/4	S	²2/4	R	>16	I	8	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	S	1	S	²1	R	>2/38	R	>8
730429	SAMN26308451	PRJNA809394	38	S	²8	S	²2	S	²2	R	>16	R	>16/8	S	²2/4	R	>16	R	>16	R	16	R	>32	S	²0.25	I	2	S	²0.25	R	16	S	²0.5	S	²1	S	²0.5/9.5	R	>8
807760	SAMN26309342	PRJNA809394	38	S	²8	S	²2	S	²2	R	>16	I	16/8	S	8/4	R	>16	R	16	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	S	²0.5/9.5	R	>8
747849	SAMN26309273	PRJNA809394	69	S	²8	S	²2	S	²2	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	I	2	S	²1	R	>2/38	S	²2
747945	SAMN26308701	PRJNA809394	69	S	²8	S	²2	S	²2	R	>16	R	>16/8	S	²2/4	R	>16	S	²1	S	²2	S	²1	S	²0.25	I	2	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
807438	SAMN26309052	PRJNA809394	73	S	²8	R	>8	I	8	R	>16	S	²4/2	S	²2/4	R	>16	S	2	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
792823	SAMN26305012	PRJNA809394	83	S	²8	S	²2	S	²2	R	>16	R	>16/8	S	²2/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	I	2	S	²0.25	R	>16	S	²0.5	S	²1	R	>2/38	S	²2
697390	SAMN26308782	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	I	16/8	I	32/4	R	>16	S	²1	S	²2	S	²1	S	²0.25	S	²0.25	S	²0.25	S	²2	S	²0.5	S	²1	R	>2/38	R	>8
698012	SAMN26308860	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	²4/2	S	²2/4	R	>16	I	4	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	R	>8
